Author,Title,Review,Rating,Dates,Restaurant
mariosg206,"Award the chef, shoot the furniture designer 😬","Excellent food, no two ways about it. Flavourful, balanced, super tasty and spicy to boot. Service a bit on the slow side but the food is well worth the wait. The cendol is one of the best I’ve ever tried, not too sweet, just right! Loved the food and will definitely come again! But... Mother of God are the chairs uncomfortable! Who designed them?! Burn them! Or invest in cushions! Show less",5,Reviewed 14 September 2019 ,Bulldog
"Seiya SKuala Lumpur, Malaysia",Lovely place to enjoy local food,"Located near by Majestic hotel, Ramada Plaza and Bayview. Foods are quite nice, served in small portion with reasonable price, so recommended to order some more than your regular practice. Interior is very modern and it doesn’t look like the place offer fine local food. Staffs are attentive.Also good place to chill-out.You can enjoy live music performance on Saturday nights.Show less",5,Reviewed 31 August 2019 ,Bulldog
Suelowst,Bulldog Melaka,"Food was average. Only the chendol is worth mentioning. The seats are very uncomfortable.  The set-up is more like a canteen. And by 2.30pm, they start switching off the lights.",3,Reviewed 25 August 2019 ,Bulldog
"APisME95Philadelphia, Pennsylvania",Great food,"Great food and cool vibe at Bulldog. While the dishes are all local, it’s got that elevated taste and touch that make the food all the more delicious than the usual hawker stall cafeterias. Yes it’s a little pricey than those, but the change of pace with flavor and style definitely make Bulldog a must try!Show less",5,Reviewed 22 August 2019 ,Bulldog
Btslicea,Not many non spicy options,"The restaurant was convenient, close to many hotels. 
Food is really average, and there are not many non spicy options. The waiter warns you if it’s too spicy but then you are left with few choices. 
Music is really too loud.",3,Reviewed 14 August 2019 ,Bulldog
SusiEngland,"Modern, friendly, very good food",Cool location with a good range of modern food - highly recommended. Dessert Bulldog Float was a really good surprise.,5,Reviewed 9 August 2019 ,Bulldog
"JimC619Spencers Wood, United Kingdom",Melaka bulldog spirit,"We were meeting one of my wife's old friends from Suzhou who'd relocated to Melaka for work so ut was an ideal place for catch up, having spotted it in trip advisor Clean and inviting with the minimalist black and white decor and wood surfaces separated with some red lamps by the bar. So good so far, service I think was thought about with the waitress recommending dishes and sizes depending on what we were eating. So this is keeping alive baba nyonya cuisine with a selection of We had pai tee as a small starter and then given one of us each didn't eat pork, seafood or beef we danced around it ordering a fish crispy fried fish with sambal, chicken-limau perut and some veggie options of okra and fried water spinach. Food was served briskly and accompanied by some steamed rice. We ended up having a couple more dishes, onion omelette and chicken sausage with onions and chilli. However that left no room for cendol. So that's a return visit on the cards. I've read people complain about background music but I didn't notice it possibly as we were enjoying good conversation and good food. With many hotels think residents may pop in, but if not I'd say give it a go.Show less",4,Reviewed 7 August 2019 ,Bulldog
DecadesontheRoad,"Possibly the best food, certainly the best service, cool decor but what an ugly ambience.","Just minutes from our hotel around the corner, we decided to try Bulldog. Where did that name come from? It's a misleading misnomer unless it's a warning about the aggressive doof-doof music. The food was good and possibly the best of its type we had enjoyed in ten days travelling in Singapore and Malaysia. The staff were professional, as almost every review notes, and also friendly. The prices were reasonable. As an architect, I understood the hip decor but it was oh, so uncomfortable. The music was inappropriate for dining at that hour, not just loud but relentless. I understand the owner has been cautioned about this but insists playing it. Save it for later at night, when the place becomes a nightclub and it might be time to 'chill out'. Judging by the clientele tonight, however, nobody was enjoying it over dinner, not even the staff I suspect.Show less",3,Reviewed 26 July 2019 ,Bulldog
"NicholasT793Worcester, United Kingdom",Hidden gem to eat and drink in a busy town,"First time in Malaysia touring 5 locations in 2 weeks. First 3 days are in Melaka, arriving early evening and trying to find a place to get a small meal and drink.We were pointed to the Indian street near our hotel but at 9.45pm we’re finding most closing on a Saturday night!! Also no alcohol available in the restaurants, but that is the religion here so be aware.We stumbled on the Bulldog, which had also finished food service but had a band on and offers for the drinks (buy 4 get 1 free). The place has a new modern appearance inside, very open, high ceiling, long back and narrow, but very clean.Staff were friendly, the band were good and they did reasonable priced snacks (chicken wings, fries etc).A must to visit, I appreciate out of sorts from Yonker street, but a good place to eat and drink. We actually had a meal there on our third night, sharing several starters between the 6 of us, which was reasonable and good value.Definitely worth a visit.Show less",5,Reviewed 26 July 2019 ,Bulldog
"STH1981Singapore, Singapore",The place to go in Melaka,I adore this place to death. They have such simple but yet devilishly delectable Nyonya dishes. And you know that they use the freshest ingredients. The simplest KangKong and ladies finger stir fried with garlic dish contains so much wok hey it’s unbelievable. The Limau Perut Chicken is to die for. And great service and great drinks! And all at affordable prices!Show less,5,Reviewed 24 July 2019 ,Bulldog
